Frequency (Hz)	Level (dB)
5313.317871	-64.893753
5318.701172	-61.832172
5324.084473	-61.937565
5329.467773	-68.175705
5334.851074	-80.974045
5340.234375	-83.502716
5345.617676	-86.070419
5351.000977	-84.653214
5356.384277	-85.708214
5361.767578	-85.304947
5367.150879	-86.784920
5372.534180	-88.245102
5377.917480	-87.040405
5383.300781	-85.636116
5388.684082	-87.847397
5394.067383	-85.334984
5399.450684	-85.718063
5404.833984	-86.217926
5410.217285	-87.553978
5415.600586	-86.488861
5420.983887	-86.820564
5426.367188	-85.078957
5431.750488	-82.660957
5437.133789	-83.326424
5442.517090	-83.001724
5447.900391	-82.444336
5453.283691	-82.143616
5458.666992	-83.889030
5464.050293	-86.162369
5469.433594	-83.582199
5474.816895	-83.194260
5480.200195	-83.752113
5485.583496	-83.953079
5490.966797	-83.576302
5496.350098	-83.407166
5501.733398	-86.620346
5507.116699	-86.914436
5512.500000	-84.841263
5517.883301	-85.364532
5523.266602	-86.235153
5528.649902	-87.167419
5534.033203	-85.667732
5539.416504	-85.148941
5544.799805	-84.266624
5550.183105	-83.827179
5555.566406	-86.103951
5560.949707	-87.834679
5566.333008	-87.865257
5571.716309	-87.631477
5577.099609	-88.032280
5582.482910	-87.260445
5587.866211	-87.379242
5593.249512	-87.181328
5598.632812	-87.317085
5604.016113	-85.952835
5609.399414	-87.761528
5614.782715	-88.220505
5620.166016	-88.609978
5625.549316	-88.265221
5630.932617	-86.342934
5636.315918	-87.436943
5641.699219	-86.444130
5647.082520	-84.715912
5652.465820	-84.566704
5657.849121	-84.342728
5663.232422	-86.533028
5668.615723	-85.932564
5673.999023	-88.900223
5679.382324	-86.483337
5684.765625	-87.262276
5690.148926	-87.154076
5695.532227	-86.916687
5700.915527	-87.126717
5706.298828	-85.919212
5711.682129	-85.609032
5717.065430	-82.118507
5722.448730	-75.804779
5727.832031	-70.674370
5733.215332	-71.373993
5738.598633	-82.065430
5743.981934	-73.847580
5749.365234	-74.222580
5754.748535	-68.771255
5760.131836	-64.825096
5765.515137	-63.680962
5770.898438	-65.453316
5776.281738	-75.082367
5781.665039	-82.704994
5787.048340	-84.294746
5792.431641	-83.566193
5797.814941	-87.023064
5803.198242	-84.832924
5808.581543	-81.593643
5813.964844	-82.612450
5819.348145	-85.932640
5824.731445	-82.167633
5830.114746	-84.561050
5835.498047	-82.639267
5840.881348	-81.562790
5846.264648	-82.456543
5851.647949	-81.717361
5857.031250	-81.770844
5862.414551	-81.184189
5867.797852	-83.021782
5873.181152	-81.315414
5878.564453	-78.492462
5883.947754	-80.290901
5889.331055	-81.418297
5894.714355	-81.159592
5900.097656	-80.348236
5905.480957	-82.262558
5910.864258	-83.342834
5916.247559	-81.058022
5921.630859	-80.365692
5927.014160	-81.019890
5932.397461	-80.409584
5937.780762	-80.783249
5943.164062	-81.430305
5948.547363	-82.054390
5953.930664	-81.599083
5959.313965	-79.565071
5964.697266	-79.701767
5970.080566	-81.190254
5975.463867	-77.956612
5980.847168	-78.083443
5986.230469	-78.714798
5991.613770	-79.281754
5996.997070	-79.705467
6002.380371	-79.434662
6007.763672	-79.546936
6013.146973	-79.565025
6018.530273	-79.616776
6023.913574	-81.945580
6029.296875	-79.478958
6034.680176	-79.661598
6040.063477	-80.867554
6045.446777	-81.621170
6050.830078	-82.897034
6056.213379	-83.945923
6061.596680	-82.353386
6066.979980	-80.803185
6072.363281	-79.860878
6077.746582	-79.656410
6083.129883	-80.835518
6088.513184	-83.072556
6093.896484	-82.700218
6099.279785	-83.317528
6104.663086	-84.179634
6110.046387	-83.220978
6115.429688	-83.714653
6120.812988	-82.919739
6126.196289	-82.632851
6131.579590	-83.833374
6136.962891	-83.169762
6142.346191	-82.342979
6147.729492	-82.543251
6153.112793	-85.786819
6158.496094	-81.128067
6163.879395	-71.468887
6169.262695	-64.791214
6174.645996	-64.792450
6180.029297	-70.927818
6185.412598	-66.164833
6190.795898	-64.656990
6196.179199	-64.442528
6201.562500	-63.654976
6206.945801	-63.975803
6212.329102	-62.279663
6217.712402	-67.769218
6223.095703	-79.879478
6228.479004	-85.256805
6233.862305	-83.019684
6239.245605	-85.042374
6244.628906	-83.167717
6250.012207	-84.262733
6255.395508	-84.529442
6260.778809	-85.517876
6266.162109	-83.156898
6271.545410	-84.511215
6276.928711	-83.731949
6282.312012	-83.634903
6287.695312	-85.302231
6293.078613	-83.849815
6298.461914	-82.661003
6303.845215	-81.703796
6309.228516	-81.631187
6314.611816	-81.594574
